epoch,train_loss,val_loss,val_mse,val_cc,val_sim,learning_rate,epoch_seconds,peak_gpu_memory_mb
1,0.1220873009800911,0.08335526466369629,0.045032150864601134,0.6167688751220703,0.4118053922653198,0.0001,111.13480189999973,6208.76806640625
2,0.07077046639919281,0.06258810368180275,0.02999485494196415,0.6740675210952759,0.4395181174278259,0.0001,112.21899260000009,6208.77001953125
3,0.05630169164538384,0.05256013625860214,0.023563756436109543,0.7100362038612366,0.4681090223789215,0.0001,112.0890687000001,6208.77001953125
4,0.049255458897352215,0.04848114448785782,0.021127457350492478,0.7264631319046021,0.49097566270828247,0.0001,112.31420080000044,6208.77001953125
5,0.04535348291397095,0.04567876982688904,0.01967243655025959,0.7399366655349732,0.511711856842041,0.0001,112.10785820000001,6208.77001953125
6,0.04269651276469231,0.044353211164474486,0.018607953026890754,0.742547420501709,0.5337725682258606,0.0001,111.82436750000033,6208.77001953125
7,0.04080526443123817,0.04242846754193306,0.018021249458193778,0.7559278225898742,0.5552432794570923,0.0001,112.14282110000022,6208.77001953125
8,0.039244505870342256,0.04125700885057449,0.01729137834906578,0.7603437042236328,0.5700338773727417,0.0001,111.8649505000003,6208.77001953125
9,0.03802968859672547,0.0408675776720047,0.01715658214688301,0.7628900504112244,0.5933327326774597,0.0001,111.56164680000074,6208.77001953125
10,0.03702978008985519,0.03941629377007484,0.01638770566880703,0.7697141280174256,0.5962286219596863,0.0001,111.51441220000015,6208.77001953125
11,0.036267226207256316,0.04044605153799057,0.016601697981357574,0.7615564699172974,0.5852900099754333,0.0001,112.20382359999985,6208.77001953125
12,0.03547204574346542,0.03910948467254639,0.01636863051354885,0.7725914573669433,0.6102893500328064,0.0001,111.4533792000002,6208.77001953125
13,0.03464313148260117,0.0389379106760025,0.01610493552684784,0.7716702475547791,0.6093259167671203,0.0001,111.51112029999967,6208.77001953125
14,0.03404987018108368,0.03870655012130737,0.01642197012901306,0.7771542015075683,0.6262885932922363,0.0001,111.59040189999996,6208.77001953125
15,0.033430910927057265,0.038075749456882475,0.016062135845422744,0.7798638663291931,0.6260339889526367,0.0001,112.0426338999996,6208.77001953125
16,0.03273736472129822,0.03818785464763642,0.016033171951770783,0.7784531712532043,0.6400634231567383,0.0001,111.92487190000065,6208.77001953125
17,0.032345474231243135,0.0379025097489357,0.015646528616547584,0.7774401865005494,0.6267537040710449,0.0001,112.5667308000011,6208.77001953125
18,0.0318820054769516,0.037546653389930726,0.015440492384135723,0.7789383955001831,0.629337646484375,0.0001,112.2424031999999,6208.77001953125
19,0.031365823721885684,0.037330464631319046,0.015247808732092381,0.7791734437942505,0.638535500049591,0.0001,111.7479383000009,6208.77001953125
20,0.030847547787427904,0.03765395057201386,0.01596921942383051,0.7831526961326599,0.6433828091621399,0.0001,111.83448870000029,6208.77001953125
21,0.03033530536592007,0.037151057690382,0.01519212806969881,0.7804107060432434,0.6444173612594605,0.0001,112.22222239999974,6208.77001953125
22,0.029972593823075294,0.038053858935832977,0.016200549706816673,0.781466908454895,0.6409133796691895,0.0001,111.77855499999896,6208.77001953125
23,0.02955372921824455,0.03727204298973084,0.015499010011553764,0.782269670009613,0.6438164687156678,0.0001,111.55964110000059,6208.77001953125
24,0.028986018657684326,0.03669947636127472,0.015166146092116833,0.7846667003631592,0.648164873123169,0.0001,111.86050799999975,6208.77001953125
25,0.028575952792167663,0.0376401858329773,0.015868501380085945,0.7822831630706787,0.6455776324272156,0.0001,112.02199119999932,6208.77001953125
