epoch,train_loss,val_loss,val_mse,val_cc,val_sim,lr
1,0.144336,0.141126,0.042382,0.012561,0.836311,1.000000e-04
2,0.123599,0.140745,0.042595,0.018500,0.836313,1.000000e-04
3,0.086010,0.141060,0.042650,0.015905,0.836311,1.000000e-04
