epoch,train_loss,val_loss,val_mse,val_cc,val_sim,lr
1,0.043298,0.042381,0.042381,0.011780,0.836311,1.000000e-04
2,0.038685,0.042559,0.042559,0.016871,0.836312,1.000000e-04
