model,checkpoint_sha256,split_hash,filename,mse,cc,sim
center,not_applicable,7ad21b6a799f,COCO_val2014_000000002006.jpg,0.12231112271547318,0.39824798703193665,0.5751165747642517
center,not_applicable,7ad21b6a799f,COCO_val2014_000000002153.jpg,0.14160138368606567,0.4285024106502533,0.33468860387802124
center,not_applicable,7ad21b6a799f,COCO_val2014_000000002154.jpg,0.13859668374061584,0.17047789692878723,0.4477328062057495
center,not_applicable,7ad21b6a799f,COCO_val2014_000000002179.jpg,0.134261816740036,0.1883876621723175,0.47659236192703247
center,not_applicable,7ad21b6a799f,COCO_val2014_000000002302.jpg,0.1370660960674286,0.35889294743537903,0.47359052300453186
center,not_applicable,7ad21b6a799f,COCO_val2014_000000002346.jpg,0.09118974953889847,0.7923566102981567,0.553361177444458
center,not_applicable,7ad21b6a799f,COCO_val2014_000000002434.jpg,0.08382356911897659,0.7185193300247192,0.6682126522064209
center,not_applicable,7ad21b6a799f,COCO_val2014_000000002640.jpg,0.09153658151626587,0.6567963361740112,0.6065901517868042
center,not_applicable,7ad21b6a799f,COCO_val2014_000000002822.jpg,0.1450549066066742,0.13566718995571136,0.4271142780780792
center,not_applicable,7ad21b6a799f,COCO_val2014_000000002839.jpg,0.08539318293333054,0.6139164566993713,0.6293660998344421
center,not_applicable,7ad21b6a799f,COCO_val2014_000000003067.jpg,0.09543389827013016,0.6464980840682983,0.5885059237480164
center,not_applicable,7ad21b6a799f,COCO_val2014_000000003091.jpg,0.0547674335539341,0.7851312160491943,0.7298822999000549
center,not_applicable,7ad21b6a799f,COCO_val2014_000000003093.jpg,0.14419806003570557,0.22361178696155548,0.40167203545570374
center,not_applicable,7ad21b6a799f,COCO_val2014_000000003192.jpg,0.04087492451071739,0.851885199546814,0.7300938963890076
center,not_applicable,7ad21b6a799f,COCO_val2014_000000003580.jpg,0.11426931619644165,0.42491498589515686,0.5886112451553345
center,not_applicable,7ad21b6a799f,COCO_val2014_000000003590.jpg,0.12116747349500656,0.48298197984695435,0.49597305059432983
center,not_applicable,7ad21b6a799f,COCO_val2014_000000003716.jpg,0.15586522221565247,0.45470017194747925,0.3052331805229187
center,not_applicable,7ad21b6a799f,COCO_val2014_000000003742.jpg,0.06656108796596527,0.7346166968345642,0.6710371971130371
center,not_applicable,7ad21b6a799f,COCO_val2014_000000003786.jpg,0.16557738184928894,0.010885972529649734,0.2807281017303467
center,not_applicable,7ad21b6a799f,COCO_val2014_000000003983.jpg,0.08360395580530167,0.6076865792274475,0.6177458763122559
center,not_applicable,7ad21b6a799f,COCO_val2014_000000004265.jpg,0.09182145446538925,0.574541449546814,0.6548898220062256
center,not_applicable,7ad21b6a799f,COCO_val2014_000000004795.jpg,0.06282477080821991,0.7414985299110413,0.7574814558029175
center,not_applicable,7ad21b6a799f,COCO_val2014_000000004988.jpg,0.10807964205741882,0.6044260859489441,0.5539133548736572
center,not_applicable,7ad21b6a799f,COCO_val2014_000000005001.jpg,0.1191687136888504,0.5223499536514282,0.5149128437042236
center,not_applicable,7ad21b6a799f,COCO_val2014_000000005038.jpg,0.1659647822380066,0.2934280335903168,0.23879879713058472
center,not_applicable,7ad21b6a799f,COCO_val2014_000000005107.jpg,0.12967711687088013,0.42437466979026794,0.5020599365234375
center,not_applicable,7ad21b6a799f,COCO_val2014_000000005282.jpg,0.09877753257751465,0.6982495188713074,0.5577496290206909
center,not_applicable,7ad21b6a799f,COCO_val2014_000000005385.jpg,0.15346351265907288,0.3447464108467102,0.3337312936782837
center,not_applicable,7ad21b6a799f,COCO_val2014_000000005535.jpg,0.14291690289974213,0.25983676314353943,0.44224977493286133
center,not_applicable,7ad21b6a799f,COCO_val2014_000000005599.jpg,0.09004098176956177,0.6930590271949768,0.6199743747711182
center,not_applicable,7ad21b6a799f,COCO_val2014_000000005617.jpg,0.1334833949804306,0.4740019738674164,0.4506385922431946
center,not_applicable,7ad21b6a799f,COCO_val2014_000000005713.jpg,0.09431954473257065,0.740332841873169,0.6026801466941833
center,not_applicable,7ad21b6a799f,COCO_val2014_000000005816.jpg,0.054000258445739746,0.6034492254257202,0.7454531192779541
center,not_applicable,7ad21b6a799f,COCO_val2014_000000005965.jpg,0.1259153038263321,0.41411396861076355,0.45689526200294495
center,not_applicable,7ad21b6a799f,COCO_val2014_000000006608.jpg,0.09303487837314606,0.6115946173667908,0.5909146070480347
center,not_applicable,7ad21b6a799f,COCO_val2014_000000006701.jpg,0.12076422572135925,0.5393312573432922,0.43824538588523865
center,not_applicable,7ad21b6a799f,COCO_val2014_000000006712.jpg,0.15526443719863892,0.24587252736091614,0.3233174681663513
center,not_applicable,7ad21b6a799f,COCO_val2014_000000007274.jpg,0.13831311464309692,0.3854539394378662,0.4397987723350525
center,not_applicable,7ad21b6a799f,COCO_val2014_000000007298.jpg,0.1458643674850464,0.31205448508262634,0.3729279637336731
center,not_applicable,7ad21b6a799f,COCO_val2014_000000007414.jpg,0.13937847316265106,0.5943739414215088,0.3145884573459625
center,not_applicable,7ad21b6a799f,COCO_val2014_000000007519.jpg,0.1538621336221695,0.29650136828422546,0.31028521060943604
center,not_applicable,7ad21b6a799f,COCO_val2014_000000007570.jpg,0.11847741156816483,0.56934654712677,0.552525520324707
center,not_applicable,7ad21b6a799f,COCO_val2014_000000007574.jpg,0.12090454995632172,0.4509589970111847,0.5163559913635254
center,not_applicable,7ad21b6a799f,COCO_val2014_000000007726.jpg,0.09396859258413315,0.7195429801940918,0.5418962240219116
center,not_applicable,7ad21b6a799f,COCO_val2014_000000007938.jpg,0.10904809832572937,0.6026605367660522,0.5771241188049316
center,not_applicable,7ad21b6a799f,COCO_val2014_000000008021.jpg,0.15968182682991028,0.3303509056568146,0.3373279869556427
center,not_applicable,7ad21b6a799f,COCO_val2014_000000008204.jpg,0.08724689483642578,0.46121877431869507,0.6554229259490967
center,not_applicable,7ad21b6a799f,COCO_val2014_000000008583.jpg,0.0646827444434166,0.5610679984092712,0.7357088327407837
center,not_applicable,7ad21b6a799f,COCO_val2014_000000008594.jpg,0.13105618953704834,0.5632628202438354,0.4829861521720886
center,not_applicable,7ad21b6a799f,COCO_val2014_000000008599.jpg,0.09635291248559952,0.7165695428848267,0.5948674082756042
center,not_applicable,7ad21b6a799f,COCO_val2014_000000008665.jpg,0.15735341608524323,0.44724076986312866,0.259143590927124
center,not_applicable,7ad21b6a799f,COCO_val2014_000000008711.jpg,0.09040024876594543,0.5718268156051636,0.6120846271514893
center,not_applicable,7ad21b6a799f,COCO_val2014_000000009002.jpg,0.08478758484125137,0.5598874688148499,0.6147240996360779
center,not_applicable,7ad21b6a799f,COCO_val2014_000000009156.jpg,0.07833839952945709,0.5208255648612976,0.6682884097099304
center,not_applicable,7ad21b6a799f,COCO_val2014_000000009400.jpg,0.11003182828426361,0.5561084747314453,0.5815978050231934
center,not_applicable,7ad21b6a799f,COCO_val2014_000000009483.jpg,0.16073353588581085,0.19413618743419647,0.3488442003726959
center,not_applicable,7ad21b6a799f,COCO_val2014_000000009527.jpg,0.06063806638121605,0.7379299402236938,0.6955695152282715
center,not_applicable,7ad21b6a799f,COCO_val2014_000000009891.jpg,0.10910511761903763,0.5270498991012573,0.5775920152664185
center,not_applicable,7ad21b6a799f,COCO_val2014_000000009914.jpg,0.0612030029296875,0.6729844212532043,0.7399129271507263
center,not_applicable,7ad21b6a799f,COCO_val2014_000000010138.jpg,0.11762954294681549,0.6135299205780029,0.486198365688324
center,not_applicable,7ad21b6a799f,COCO_val2014_000000010216.jpg,0.1584315001964569,0.47305557131767273,0.23044538497924805
center,not_applicable,7ad21b6a799f,COCO_val2014_000000010393.jpg,0.17166048288345337,0.1889437586069107,0.25995275378227234
center,not_applicable,7ad21b6a799f,COCO_val2014_000000010705.jpg,0.10469541698694229,0.5851842761039734,0.4889957010746002
center,not_applicable,7ad21b6a799f,COCO_val2014_000000010707.jpg,0.10391566157341003,0.5483013391494751,0.5611330270767212
center,not_applicable,7ad21b6a799f,COCO_val2014_000000011291.jpg,0.14864060282707214,0.18965782225131989,0.42693668603897095
center,not_applicable,7ad21b6a799f,COCO_val2014_000000011305.jpg,0.12345410883426666,0.4731493592262268,0.5194146633148193
center,not_applicable,7ad21b6a799f,COCO_val2014_000000011360.jpg,0.0975760743021965,0.589214026927948,0.5752700567245483
center,not_applicable,7ad21b6a799f,COCO_val2014_000000011494.jpg,0.058999620378017426,0.7221276760101318,0.7202074527740479
center,not_applicable,7ad21b6a799f,COCO_val2014_000000011696.jpg,0.1215333640575409,0.6337466239929199,0.4215923547744751
center,not_applicable,7ad21b6a799f,COCO_val2014_000000011796.jpg,0.13284988701343536,0.5495604872703552,0.4420291781425476
center,not_applicable,7ad21b6a799f,COCO_val2014_000000011887.jpg,0.07232138514518738,0.7256008982658386,0.6246676445007324
center,not_applicable,7ad21b6a799f,COCO_val2014_000000011987.jpg,0.06078631430864334,0.7886595129966736,0.7326333522796631
center,not_applicable,7ad21b6a799f,COCO_val2014_000000012209.jpg,0.14483976364135742,0.39546269178390503,0.34571340680122375
center,not_applicable,7ad21b6a799f,COCO_val2014_000000012230.jpg,0.0884372889995575,0.5203205347061157,0.6719067096710205
center,not_applicable,7ad21b6a799f,COCO_val2014_000000012238.jpg,0.136417418718338,0.4367436468601227,0.3711157441139221
center,not_applicable,7ad21b6a799f,COCO_val2014_000000012375.jpg,0.05122153088450432,0.812377393245697,0.6919959783554077
center,not_applicable,7ad21b6a799f,COCO_val2014_000000012443.jpg,0.14639809727668762,0.34136924147605896,0.4461924135684967
center,not_applicable,7ad21b6a799f,COCO_val2014_000000012700.jpg,0.11805836111307144,0.4633618891239166,0.5586382150650024
center,not_applicable,7ad21b6a799f,COCO_val2014_000000012764.jpg,0.1589936912059784,0.08500070124864578,0.3228262960910797
