epoch,train_loss,val_loss,val_mse,val_cc,val_sim,lr
1,0.149113,0.156027,0.054713,-0.013135,0.836242,1.000000e-04
2,0.143601,0.154720,0.053924,-0.007958,0.836248,1.000000e-04
