epoch,train_loss,val_loss,val_mse,val_cc,val_sim,lr
1,0.146051,0.136902,0.039317,0.024147,0.840548,1.000000e-04
2,0.122677,0.138283,0.039698,0.014151,0.840550,1.000000e-04
3,0.096616,0.138283,0.039847,0.015639,0.840557,1.000000e-04
4,0.103247,0.138316,0.039671,0.013545,0.840561,1.000000e-04
5,0.084251,0.138087,0.039164,0.010774,0.840558,1.000000e-04
