epoch,train_loss,val_loss,val_mse,val_cc,val_sim,learning_rate,epoch_seconds,peak_gpu_memory_mb
1,0.15762534956932067,0.11978642672300338,0.08360104984045029,0.6381462349891662,0.4254513671398163,0.0001,107.5122981999998,6035.12744140625
2,0.10938432776927948,0.09953517603874207,0.06794430375099182,0.6840912961959839,0.4376489198207855,0.0001,107.30059160000019,6035.12939453125
3,0.09051123642921448,0.12819057202339174,0.08491143655776978,0.567208652973175,0.4589324095249176,0.0001,107.27595719999954,6035.12939453125
4,0.077774347615242,0.06934737831354142,0.04112546572089195,0.71778089427948,0.445835088968277,0.0001,107.35669919999964,6035.12939453125
5,0.06737954444885254,0.0627646940946579,0.035523284435272216,0.7275859112739563,0.4642529513835907,0.0001,109.02875250000034,6035.12939453125
6,0.059845465755462644,0.0559668927192688,0.029179813295602798,0.7321292133331299,0.46096152210235597,0.0001,109.0014597999998,6035.12939453125
7,0.054072332406044005,0.05188241675496101,0.026235365390777587,0.7435294909477234,0.47980559611320495,0.0001,108.90367820000029,6035.12939453125
8,0.049517621397972104,0.05022233921289444,0.02500719229876995,0.7478485341072083,0.49842995643615723,0.0001,109.31797670000014,6035.12939453125
9,0.04632765918970108,0.05030642148852348,0.02543435353040695,0.751279333114624,0.5194571509361267,0.0001,108.73825500000021,6035.12939453125
10,0.04377575157880783,0.048311142802238465,0.023157427966594694,0.7484628458023072,0.5255836877822876,0.0001,108.44657929999994,6035.12939453125
11,0.041574256801605224,0.04315369045734405,0.019387344598770142,0.762336555480957,0.508457350730896,0.0001,108.63401090000025,6035.12939453125
12,0.039864517736434936,0.04115859168767929,0.01827703419327736,0.7711844363212585,0.5422533874511719,0.0001,107.96984479999992,6035.12939453125
13,0.038153442043066026,0.04113263800740242,0.017974251374602318,0.7684161381721497,0.5418628692626953,0.0001,108.53535190000002,6035.12939453125
14,0.037067576831579206,0.040851781487464905,0.018205681681632994,0.7735390105247497,0.5622414441108704,0.0001,108.28070500000013,6035.12939453125
15,0.036185034799575806,0.03905408775806427,0.016556079432368278,0.775019926071167,0.574485463142395,0.0001,107.5723023999999,6035.12939453125
16,0.035191839426755904,0.03899800843000412,0.0165425720512867,0.7754456343650817,0.5930766711235046,0.0001,107.75106189999951,6035.12939453125
17,0.03453269885778427,0.039241819977760314,0.016918776482343675,0.7767695617675782,0.5662848954200744,0.0001,107.45786409999982,6035.12939453125
18,0.033767373394966126,0.03795539045333862,0.015737667366862298,0.7778227705955505,0.5907762241363526,0.0001,107.50237490000018,6035.12939453125
19,0.033218308067321775,0.03881813406944275,0.016355588555336,0.7753745589256287,0.6097991585731506,0.0001,107.84254430000055,6035.12939453125
20,0.032532340544462204,0.03826786798238754,0.01627028116583824,0.7800241289138794,0.6069218721389771,0.0001,107.23430839999946,6035.12939453125
21,0.031962399601936343,0.03750550249218941,0.015476040624082088,0.7797053718566894,0.6094879546165466,0.0001,106.9719869999999,6035.12939453125
22,0.031530781304836275,0.03720882374048233,0.015603234715759754,0.7839441199302674,0.6156650795936585,0.0001,106.92618019999918,6035.12939453125
23,0.030991238141059876,0.03849234557151794,0.016326916053891184,0.7783457069396973,0.6175132632255554,0.0001,106.72846930000014,6035.12939453125
24,0.030463608875870705,0.03841835957765579,0.016409261494874955,0.7799090242385864,0.6155576028823853,0.0001,106.58664210000006,6035.12939453125
25,0.029917147290706634,0.03846035993099212,0.016904426470398904,0.7844406609535217,0.6095337710380554,0.0001,106.59958839999945,6035.12939453125
